id,imagemUrl,titulo,tipoObra,temas_filtrados
19544,https://acervo-portinari.s3.sa-east-1.amazonaws.com/f30d3545c99934e67c0bcf98f4d2c665.jpeg,Paisagem com Espantalho,Pintura,"Paisagem, Campo"
19545,https://acervo-portinari.s3.sa-east-1.amazonaws.com/843d4961f13c478f4a8edb6fa77eaa8e.jpeg,Paisagem com Espantalho e Urubus,Pintura,"Paisagem, Deserto"
19547,https://acervo-portinari.s3.sa-east-1.amazonaws.com/f14fddca09c371995b28c75c4c7622c6.jpeg,Paisagem de Petrópolis,Pintura,Paisagem
19564,https://acervo-portinari.s3.sa-east-1.amazonaws.com/e799569eab6d607b560eb5b2602814be.jpeg,Menina com Cabrito,Pintura,"Paisagem, Campo"
19565,https://acervo-portinari.s3.sa-east-1.amazonaws.com/32a5069523c442fc0ce4d1bc1ec2d3f6.jpeg,O Seringueiro,Pintura,"Paisagem, Floresta"
19568,https://acervo-portinari.s3.sa-east-1.amazonaws.com/bd1283b3a2bc44a3a79ba9243e7e1ca6.jpeg,"Os ""Brabos""",Pintura,"Trabalhadores, Lavrador"
19572,https://acervo-portinari.s3.sa-east-1.amazonaws.com/023527855ea17d34217010f37f0d4cab.jpeg,A Clareira,Pintura,"Paisagem, Floresta"
19574,https://acervo-portinari.s3.sa-east-1.amazonaws.com/6da9c5276d2ce7885eb731a1a8271c93.jpeg,Os Retirantes,Pintura,"Paisagem, Campo"
19576,https://acervo-portinari.s3.sa-east-1.amazonaws.com/d6273477fffab02f5a5381e07234c724.jpeg,A Onça,Pintura,"Paisagem, Floresta"
19577,https://acervo-portinari.s3.sa-east-1.amazonaws.com/12e6418d5d39fb88b36d4f1b29572832.jpeg,O Cemitério,Pintura,"Paisagem, Floresta"
19579,https://acervo-portinari.s3.sa-east-1.amazonaws.com/d00b009fb82401029bcba79668a8ff7f.jpeg,Os Índios,Pintura,"Paisagem, Floresta"
19583,https://acervo-portinari.s3.sa-east-1.amazonaws.com/3c8fc8cd0726b628afbdc9d652284d35.jpeg,Laçando Boi,Pintura,"Cenas de trabalho, Trabalhadores"
