id,pagina,estrofes,titulo,ano,tecnica,local,dimensoes,colecao
poema_002,21," Antes da luz e da água encanada, / No povoado havia lamparina / E cisterna; dez a quinze metros / Para encontrar o líquido. / Os circos traziam iluminação / De carbureto. Próximos / Dos elementos. Quantos vendavais e / Chuvas de granizo! / Moinhos de garapa, / Feitos de madeira — canaviais / E matas virgens com seus pássaros e / Frutas. Consumiram / Tudo e mais as lendas. Onde / Estarão os jacus e as pacas? / Os jenipapos e jatobás? / As estradas cortando as / Matas criavam estórias / E medos. Os caminhos / Também fugiram. Olhando / O céu, às vezes os vejo transformados em nuvens.",Circo,1941,Desenho a guache e nanquim pincel/papel,"Washington, DC","25 × 28,5 cm",Coleção particular
poema_008,33," Distante o mais longe na memória / A casa velha, o coqueiro solitário. / No amanhecer do orvalho / Moravam os donos do gado. / Era em algum lugar numa / Estória de Dona Iria ou dentro / Da chuva. Não havia lua e nem / Sol. Qualquer coisa branca e azulada. / Não sei o que está preso / Em mim: lembrança fixada / Em meus olhos. Se não penso, / Ela surge. A cor da porta e / Da janela perdi e nunca mais / Achei. Contente mesmo assim, / Em sonhos vejo tudo e / A porta e a janela — mas em preto e branco.",Moça,1940,Pintura a óleo/tela,"Rio de Janeiro, RJ","40,5 × 30,2 cm",Coleção desconhecida
poema_084,145," O filho menor está morrendo / As filhas maiores soluçam forte / Caem lágrimas de pedra. Mãe querendo / Levar menino morto: feio de sofrer, cara da morte / Desolação. Silêncio apavorando / Solo sem fim pegando fogo. / Não há direção. O sol queimando / Embrutece. Cabeça vazia de bobo / Há quanto tempo? Famintos e sem sorte / A água pouca, ninguém pede nem faz menção / Água, água, se acabar, vem a morte. / Estão irrigando a terra? É barulho de água? Alucinação / Que Santo nos poderia livrar? / Reza de velho louco / Deus pode a todos castigar. / Que é que esse menino tem? Está morto.",Criança morta,1944,Painel a óleo/tela,"São Paulo, SP",180 × 190 cm,Coleção Museu de Arte de São Paulo Assis Chateaubriand - São Paulo - SP
poema_098,163,"  Não serei nuvem e nem concha do mar / Ganhei o que havia de melhor / Viajei muito por terra e pelas águas / Fui dos escolhidos olhava o céu / Como dono de todas as estrelas / Habituei-me com os animais / Seus olhares mansos / Parecia nos entendermos / Contava-lhes as histórias aprendidas / Com Dona Iria. Tive muitos cavalos / Amarelos e alguns zebus azuis, meus / Cabritinhos brancos nunca mais os verei /",Menino com carneiro,1954,Pintura a óleo/tela,"Rio de Janeiro, RJ",50 × 61 cm,Coleção particular
poema_110,185,"  Ensaio de oração para minha / DENISE, / no seu um e meio aniversário / Senhor, Tua branca espada não deixará / Que penetrem em meu pequeno / Coração: o egoísmo, a vaidade, a / Desconfiança e os males… / A luz refletida de / Tuas coisas me iluminará na estrada real / Distanciando-me da treva / Ao lado dos outros nas lutas / Seja eu areia macia que não incomoda / Que meu olhar atravesse o opaco e perceba / A erva de Deus não a esmagando / Sob meus pés. / Dai-me muito amor. Eu o distribuirei / Nas filas intermináveis / Se esta prece ouvires forte serei / E diariamente a farei / Meditando-a com meus / Atos de cada instante / Caminharei iluminado, sem me / Perder na escuridão. / Amém. / Paris, 6 nov., 1961",Denise com carneiro branco,1961,Pintura a óleo/madeira,"Rio de Janeiro, RJ",61 × 50 cm,Coleção particular
