id,pagina,estrofes,titulo,ano,tecnica,local,dimensoes,colecao
poema_061,109,"  Sem cílios e sem destino / No ar sem proteção / Espantalho de beira-córrego, os pássaros / Pequenos não se intimidam… Passam. / Aos grandes arrozais. Invisível quase / Flutuando no espaço / Vagando ao léu. Esfiapado e desfeito / Um trapo cuspido / No lodo. Enxugando a lama, será no / Clarear da aurora? / Se tivesse ainda meu canivetinho / De cabo de madrepérola me / Recordaria de tudo daquele tempo. / Veio de presente numa caixa de vinho / Do Porto. Não dão mais. Era / Um pouco de felicidade embrulhada / entre as garrafas. / Depois tive muitos canivetes / De verdade: apenas cortavam… / O meu vivia: gostava de admirá-lo / Conversávamos durante horas e horas / Onde estará? Transformara-se? / Seria a estrela aqui perto do / Mar? Ou foguete que foi à lua? / Meu canivetinho, meu canivetinho… / 109",Espantalho no arrozal,1947,Pintura a óleo/tela,"Rio de Janeiro, RJ",60 × 73 cm,Coleção particular
poema_064,112,"  A tristeza secou-me / Deixando-me sem ação / Sozinho no relento / As Três Marias correm ligeiras e esvaziam o chão / Onde irão lobisomem já passou / Seria mula sem cabeça? / O fantasma a espada de granito quebrou / Os espantalhos lutam para que o arroz cresça",O sonho de Jacó,1957,Pintura a óleo/tela,"Rio de Janeiro, RJ","81,5 × 65,5 cm",Coleção particular
poema_069,119,"  De aspecto diferente não se mostra / Mais, nem nos dias de sol / Nem nos dias sombrios. / Maria de Nazaré / caminha para Belém passando Caná. / O céu de madrepérola da terra dos santos / acompanha a inquietude também / Maria de Nazaré / Com sua passagem as flores ficarão / mais belas / Apareces em toda parte / nas estradas, no mar, muitas vezes / bem perto. / Silenciosa pousas teu olhar em mim / Meu pensamento gira / em torno de ti.",Madona com menino Jesus,1943,Pintura a têmpera/madeira,"Rio de Janeiro, RJ","21 × 14,5 cm",Coleção particular
poema_071,125,"  Os inventariantes / I / Os inventariantes pedirão conta dos cílios / Apedrejados. Das madeiras inertes e dos cabelos / Perdidos e dos egoísmos. Das penas das aves / Das chuvas inúteis. Dos furacões e dos ventos / II / Dos espaços perdidos. Das lágrimas secas / Dos carvões em brasa e das fogueiras de São João. / Das violetas sob a terra nos cemitérios / Das cores claras das moças morenas. / III / Das gotas d’água afundadas nas pedras. Dos laranjais / Sem laranja e das malvadezas. Das águas constantes e / Da lepra. Quem responderá? Os inventariantes quererão saber / Dos feios e dos pequenos funcionários que estão sempre / IV / Nas filas, filas de caixões de defunto. Filas das prestações / Nas filas dos hospitais, filas dos sofrimentos de arrancar / Dentes, de arrancar o olho e transfusões de sangue com água / Nas filas de leite com água e nas filas de pedir água. / V / Nas filas intermináveis da morte que não chega… / Pedirão conta do lodo. Das espadas brancas. Dos cães amedrontados / Dos pés estragados, dos dedos perdidos. Da nave morta e / Repelida, cheia de gente viva. Dos fornos queimando vivos. / Mulheres antigas e jovens… Pedirão conta das éguas",Operário,1947,Pintura a óleo/tela,"Rio de Janeiro, RJ","99 × 80,5 cm",Coleção particular
poema_072,126,"  Solteironas. Dos frutos podres que os meninos não comeram / Dos que engendram a maldição. Dos cheiros misturados. / VII / Dos fogos perdidos. Das meninas feias morando distante / E chegando sempre na luz da aurora. Pedirão conta dos / Moirões queimados e das angústias. Dos ninhos de joões-de-barro / Das areias estéreis. Da malária. Da ameba. Das sezões. Dos / VIII / Sarampos. Das tosses compridas. Das seriemas e gabirobeiras / Dos meninos caolhos e barrigudos. Dos estropiados. Dos / Espinhos. Das borboletas refletidas n’água estagnada. / Das gotas de sangue desconhecidas. Dos urubus tristes e / IX / Malqueridos. Das moças sem dentes e sempre grávidas. / Das manchas amarelas nas pedras. Ouvirão os horizontes fugidios? / Pedirão conta dos gritos sem eco. Das fomes mortas. / Das estradas azuis. Das nascentes nas montanhas. / X / Dos ruídos à toa. Das almas mortas sem destino. / Dos enfartes no silêncio dos campos. Pedirão conta / Dos silêncios intermináveis. Dos pobres assassinados e dos / Assassinados a machado. Dos desastres e trilhos enferrujados. / XI / Das porteiras cantadeiras e solitárias. Das portas abandonadas. / Das tristezas vagando. Dos escorpiões e viúvas-negras só / Conhecidas dos pequeninos… Pedirão conta da / Erva nascida do sopro da inocência…",Jó,1943,Painel a óleo e carvão/tela,"São Paulo, SP",217 × 178 cm,Coleção Museu de
poema_076,133,"  Os retirantes vêm vindo com trouxas e embrulhos / Vêm das terras secas e escuras; pedregulhos / Doloridos como fagulhas de carvão aceso / Corpos disformes, uns panos sujos, / Rasgados e sem cor, dependurados / Homens de enorme ventre bojudo / Mulheres com trouxas caídas para o lado / Pançudas, carregando ao colo um garoto / Choramingando, remelento / Mocinhas de peito duro e vestido roto / Velhas trôpegas marcadas pelo tempo / Olhos de catarata e pés informes / Aos velhos cegos agarradas / Pés inchados enormes / Levantando o pó da cor de suas vestes rasgadas / No rumor monótono das alparcatas / Há uma pausa, cai no pó / A mulher que carregava uma lata / De água! Só há umas gotas — Dá uma só / Não vai arribar. É melhor o marido / E os filhos ficarem. Nós vamos andando / Temos muito que andar nesse chão batido / As secas vão a morte semeando",Retirantes,1955,Desenho a grafite e sanguínea/papel,"Rio de Janeiro, RJ",26 × 27 cm,Coleção particular
poema_077,134,"  No povoado sonhando / Viu o mar. Um dia o / Veria de verdade. / Passaram alguns dezembros. / Chegou à praia / Sem saber se era dia ou noite, / Distante dali deixara o / Campo, os animais e as flores. / Faziam parte de sua / Vida de menino pobre. / Lembrava-se da chuva do rio e dos pássaros. / Não pôde ver o mar: estava cego.",Marinha,1942,Pintura a óleo/tela,"Rio de Janeiro, RJ",46 x 55 cm,Coleção particular
poema_078,136,"  Mulheres com dor d’olhos cobertas de trapos e / Sempre grávidas. Saindo dos panos há uma cara / Canelas finas e feridentas. Desde o seu nascimento / Penam. Noite e dia trabalham. Muitas já cegas, / Os filhos tracomosos e opilados. / As mocinhas de dezesseis anos / Só trazem na boca uns cacos de / Dentes. São assombrações. Espantam as águas dos / Rios e o arvoredo. Morrem trabalhando e / Ressurgirão no azul do céu vestidas de Lua.",Retirante grávida,1945,Desenho a sépia pincel/papel,"Rio de Janeiro, RJ",82 × 36 cm,Coleção desconhecida
poema_079,139,"  Faltam-me as pernas. / Tenho um braço e meus / Olhos são fracos. O coração palpitando / Sempre. / Vim da terra vermelha e do / Cafezal. / As almas penadas, os brejos e as matas virgens / Acompanham-me como o espantalho, / Que é meu autorretrato. / Todas as coisas / Frágeis e pobres / Se parecem comigo.",Espantalho,1947,Desenho a crayon/papel,"Rio de Janeiro, RJ","34,5 × 24,5 cm",Coleção particular
poema_084,145,"  O filho menor está morrendo / As filhas maiores soluçam forte / Caem lágrimas de pedra. Mãe querendo / Levar menino morto: feio de sofrer, cara da morte / Desolação. Silêncio apavorando / Solo sem fim pegando fogo. / Não há direção. O sol queimando / Embrutece. Cabeça vazia de bobo / Há quanto tempo? Famintos e sem sorte / A água pouca, ninguém pede nem faz menção / Água, água, se acabar, vem a morte. / Estão irrigando a terra? É barulho de água? Alucinação / Que Santo nos poderia livrar? / Reza de velho louco / Deus pode a todos castigar. / Que é que esse menino tem? Está morto.",Criança morta,1944,Painel a óleo/tela,"São Paulo, SP",180 × 190 cm,Coleção Museu de Arte de São Paulo Assis Chateaubriand - São Paulo - SP
