id,pagina,estrofes,titulo,ano,tecnica,local,dimensoes,colecao
poema_0109,107,"  Acordei antes da morte? / Quem soprou-me a realidade? / Via as areias, areias de meu / Povoado pouco pisadas. / Brilhavam sempre / Noites frias e estreladas. / Mesmo mal-assombradas / Havia as vozes boas e os ruídos / Caseiros. Almas infantis / Dos anjinhos. Sepultados na / Véspera. Habitavam o espaço / Levando o perfume / De rosas e de cravos / Tão verdadeiro e / Tão inexistente… / Paris, out., 1961 / 107      ",,,,,,
poema_0110,108,"  Recostado no céu adormeci / Sonhei que os Santos e os anjos me vieram ver / Doía nos olhos a luz que suas vestes refulgia / Sabiam que sofria — penavam no meu entristecer. / Cada um dizia o que convinha e sumia / Ficou o mais velho para me fazer companhia / Sugeriu uma viagem à Lua / Para visitar São Jorge. Lá chegamos e na montanha / Mais alta, no sopé há o rio navegável em que íamos / Embarcar num arado que nos levava à casa do Santo / O vento as feições se lhe via e o brando sussurrar lhe ouvia / Depois de dois dias chegamos ao campo / Batemos palmas, vieram o cavalo e o dragão / São Jorge não estava. Ali no jardim havia flores / Atrás da maior se escondia o meu amor com filho e o outro em embrião. / A lua ao virar nos despejou. Falaram em maio / Mês das flores, de novenas e de felicidade / Caído embaixo da mesa acordei. Não foi desmaio / Montei a potranca, fui comprar cigarros na cidade. / Nov., 1958",Espantalho no arrozal,1947,Pintura a óleo/tela,"Rio de Janeiro, RJ",60 × 73 cm,Coleção particular
poema_061,109,"  Sem cílios e sem destino / No ar sem proteção / Espantalho de beira-córrego, os pássaros / Pequenos não se intimidam… Passam. / Aos grandes arrozais. Invisível quase / Flutuando no espaço / Vagando ao léu. Esfiapado e desfeito / Um trapo cuspido / No lodo. Enxugando a lama, será no / Clarear da aurora? / Se tivesse ainda meu canivetinho / De cabo de madrepérola me / Recordaria de tudo daquele tempo. / Veio de presente numa caixa de vinho / Do Porto. Não dão mais. Era / Um pouco de felicidade embrulhada / entre as garrafas. / Depois tive muitos canivetes / De verdade: apenas cortavam… / O meu vivia: gostava de admirá-lo / Conversávamos durante horas e horas / Onde estará? Transformara-se? / Seria a estrela aqui perto do / Mar? Ou foguete que foi à lua? / Meu canivetinho, meu canivetinho… / 109",Espantalho no arrozal,1947,Pintura a óleo/tela,"Rio de Janeiro, RJ",60 × 73 cm,Coleção particular
poema_0112,110,"  O zunir dos postes telefônicos nas estradas / perdidas, no silêncio completo e / Eterno, limpa minha imaginação e / Clareia meus olhos; espremido dentro de um / tronco — salvei-me na casa das arapuás / Engoli o mel e saí. Rasteiras as / Sombras das nuvens me perseguiam. / Minha alma saiu de mim correndo / O céu jogou-lhe uma pedrada / Ela voltou fechei-a em meu baú / Onde está aquele eu que ficou no / Povoado? Vi-o uma vez todo de preto / E camisa vermelha — corri para ele / A locomotiva interferiu fechando a passagem; nunca mais me vi / O vento veio fazer-me companhia fomos / ver as águas — as do meu / córrego um peixe velho me reconheceu / Sorriu – mas era a lua. / 110                                                                       ",,,,,,
poema_0113,111,"  Direi ao fogo para te encantar / Meus olhos deram-me de presente / Não sairão da estrada para te espiar / Vejo-te sempre. / Pássaros ligeiros de par em par / O firmamento de azul vão desenhando / Olhos sem te ver, não canso de te espiar / Os pássaros te estão a procurar / Nas sombrias árvores, folhas em quantidade / A mais dourada rodopia as outras não se movem / Olhando pensando te ver, é realidade? / Meu sonho e sobem / 111      ",,,,,,
poema_064,112,  A tristeza secou-me / Deixando-me sem ação / Sozinho no relento / As Três Marias correm ligeiras e esvaziam o chão / Onde irão lobisomem já passou / Seria mula sem cabeça? / O fantasma a espada de granito quebrou / Os espantalhos lutam para que o arroz cresça,O sonho de Jacó,1957,Pintura a óleo/tela,"Rio de Janeiro, RJ","81,5 × 65,5 cm",Coleção particular
poema_0116,114,  Entoava um salmo o peixe-anjo. Vi-o / de azul voava ligeiro / Assisti uma grande / árvore dando concerto e vi as areias dançando. / As águas do mar chorando e se debatendo. Ouvi as / nuvens conversarem. O sol era mais / luminoso nesse dia / Amanheci sentado na escada de Jacob. Pedi / ao vento para levar-me a Bercheba. / Fomos num instante. Encontrei Abraão. / 114                                                                       ,,,,,,
poema_0117,115,"  Vi um galo azul, azul. Estava tão longe e se / Podia ver, num segundo desapareceu, apenas o / Seu canto ficou em meu ouvido. Pensei que já / Seria madrugada. Não, não era madrugada. / Escurecia e a lua mal despontava. / Foi arte de feiticeira para me encantar, mas / meus anjos me guardavam. Encheram a orla do / mar de despachos. Milhares de velas acesas / Na noite triste vinha do mar a brisa com cheiro / de Morte… / 115      ",,,,,,
poema_0118,116,"  E o vento não veio. Vi o moinho / Chorar e os cavalos ao seu redor / Com suas longas crinas esvoaçando / Em disparada trocavam de direção / Nem o moinho nem a lua porque sem / Vento nem sol. A chuva chorava / Com pena do moinho, na lua / Ninguém pensou. Estava muito / Longe… O espaço estava cheio / De almas impedindo a visibilidade / Das estrelas e dos anjos. / Quanto azul… / 116                                                                       ",,,,,,
poema_0119,117,"  A cavalo fui por um caminho. / Olhava o campo a se perder de vista, / Plantações ordenadas, pontilhadas de casebres, / O córrego serpenteando nos acompanhava. / O ar resinoso das montanhas e matas / Era delicioso. Íamos tranquilos. / De imprevisto, passou em nossa frente / A mula sem cabeça e num instante / Nuvens negras ameaçando e desencadeando / Temporal: relâmpagos trovões e / Raios decepando árvores. O vento curvava / As árvores, levando as folhas / Para a frente. Encharcados e frementes, / Olhávamos o espetáculo em pleno / Descampado. Onde andará aquele temporal? / 117      ",,,,,,
